etablissements;missions;formule;CA_HT;cout_mensuel;resultat_mensuel;resultat_par_mission;taux_resultat_sur_CA_pct;meilleure_formule
10;500;149 €/établissement + 9 €/mission;5990;5265.3;724.7;1.4494;12.0985;False
10;600;19 €/mission;11400;5265.3;6134.7;10.2245;53.8131;True
10;600;299 €/établissement;;5265.3;;;;False
10;600;149 €/établissement + 9 €/mission;6890;5265.3;1624.7;2.7078;23.5805;False
10;750;19 €/mission;14250;5265.3;8984.7;11.9796;63.0505;True
10;750;299 €/établissement;;5265.3;;;;False
10;750;149 €/établissement + 9 €/mission;8240;5265.3;2974.7;3.9663;36.1007;False
10;1000;19 €/mission;19000;5265.3;13734.7;13.7347;72.2879;True
10;1000;299 €/établissement;;5265.3;;;;False
10;1000;149 €/établissement + 9 €/mission;10490;5265.3;5224.7;5.2247;49.8065;False
20;0;19 €/mission;0;5265.3;-5265.3;;;False
20;0;299 €/établissement;5980;5265.3;714.7;;11.9515;True
